Run_ID,Experiment,Replica,Tool_ID,Group,Subgroup,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,CTime,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt,Fx,Fy,Fz,F
1_021_B1_4_a,1,1,21,1,2,a,4,0,12,94,93.5,na,1,0.25,350,0.07,0.391,1.855,0.56,2.423,71.4,2.082,49.23,44.46,21.07,69.60049856
1_021_B1_6_b,1,1,21,1,2,b,6,0,12,94,93.5,na,1,0.25,350,0.13,1.181,4.853,0.793,2.39,132.5,5.186,81.03,59.21,25.94,103.6560109
1_021_B1_5_c,1,1,21,1,2,c,5,0,12,94,93.5,na,1,0.25,350,0.1,0.612,2.451,0.767,2.32,100.9,2.626,65.48,49.71,22.31,85.18480264
1_021_B1_8_d,1,1,21,1,3,d,8,0,12,94,93.5,na,1,0.25,390,0.1,0.709,2.629,0.612,1.947,100,2.783,65.95,50.85,22.3,86.21145516
1_021_B1_9_e,1,1,21,1,3,e,9,0,12,94,93.5,na,1,0.25,390,0.13,1.111,4.285,0.47,2.028,131.7,4.416,84.34,57.88,26.26,105.6073747
1_021_B1_7_f,1,1,21,1,3,f,7,0,12,94,93.5,na,1,0.25,390,0.07,0.362,1.531,0.545,1.975,71.2,1.621,51.59,42.31,18.87,69.33787637
1_021_B1_2_g,1,1,21,1,1,g,2,0,12,94,93.5,na,1,0.25,310,0.1,0.681,2.554,0.237,1.677,98.8,2.813,69.13,50.07,20.51,87.78736754
1_021_B1_1_h,1,1,21,1,1,h,1,0,12,94,93.5,na,1,0.25,310,0.07,0.227,1.431,-0.374,2.99,72.3,1.773,55.44,41.6,19.53,72.0109332
1_021_B1_3_i,1,1,21,1,1,i,3,0,12,94,93.5,na,1,0.25,310,0.13,0.832,3.56,0.975,2.795,128.3,3.848,84.61,56.61,24.09,104.6129643
1_031_B2_10_b,1,1,31,2,4,b,10,0,12,93.5,92.5,na,1,0.5,310,0.07,0.256,1.111,0.129,1.871,78.6,1.272,110.5,61.45,68.08,143.6009711
1_031_B2_12_c,1,1,31,2,4,c,12,0,12,93.5,92.5,na,1,0.5,310,0.13,1.133,4.764,0.807,2.495,132.5,4.979,171.5,83.49,75.56,205.1636998
1_031_B2_11_d,1,1,31,2,4,d,11,0,12,93.5,92.5,na,1,0.5,310,0.1,0.501,2.623,0.876,3.121,97.8,2.826,141.5,69.27,67.71,171.4795236
1_031_B2_17_e,1,1,31,2,6,e,17,0,12,93.5,92.5,na,1,0.5,390,0.1,0.567,2.53,0.515,2.249,101.3,2.871,141.9,70.27,65.19,171.2402377
1_031_B2_16_f,1,1,31,2,6,f,16,0,12,93.5,92.5,na,1,0.5,390,0.07,0.37,1.663,0.111,1.944,71.2,1.93,110.1,56.55,61.05,138.0109235
1_031_B2_18_g,1,1,31,2,6,g,18,0,12,93.5,92.5,na,1,0.5,390,0.13,0.519,2.731,0.645,3.005,103.6,2.899,173.5,82.13,71.8,204.9459121
1_031_B2_14_h,1,1,31,2,5,h,14,0,12,93.5,92.5,na,1,0.5,350,0.1,0.623,2.671,0.097,1.949,99.1,2.8,144.7,70.44,66.44,174.1096126
1_031_B2_15_i,1,1,31,2,5,i,15,0,12,93.5,92.5,na,1,0.5,350,0.13,0.52,2.47,0.352,2.351,125.6,2.585,179.8,81.93,75.26,211.4347003
1_031_B2_13_j,1,1,31,2,5,j,13,0,12,93.5,92.5,na,1,0.5,350,0.07,0.356,1.636,-0.115,2.032,70.3,1.781,107.7,52.78,60.21,134.2023193
1_041_B3_22_a,1,1,41,3,8,a,22,0,12,92.5,90.9,na,1,0.8,350,0.07,0.38,1.681,0.439,2.042,70.7,1.803,159.5,62.91,115.8,206.8998746
1_041_B3_24_b,1,1,41,3,8,b,24,0,12,92.5,90.9,na,1,0.8,350,0.13,1.46,6.212,0.818,2.528,131.9,6.317,272.2,100.7,219.1,363.6456242
1_041_B3_23_c,1,1,41,3,8,c,23,0,12,92.5,90.9,na,1,0.8,350,0.1,0.929,4.12,0.668,2.529,100.2,4.24,213,77.32,190.3,295.9078782
1_041_B3_25_d,1,1,41,3,9,d,25,0,12,92.5,90.9,na,1,0.8,390,0.07,0.47,2.226,0.419,2.202,70.4,2.412,162.8,60.35,116.9,209.3121413
1_041_B3_26_e,1,1,41,3,9,e,26,0,12,92.5,90.9,na,1,0.8,390,0.1,0.699,3.16,0.655,2.31,99,3.307,215.7,75.94,193.2,299.3653514
1_041_B3_27_f,1,1,41,3,9,f,27,0,12,92.5,90.9,na,1,0.8,390,0.13,0.827,3.936,0.346,2.446,128.3,4.086,272.5,98.6,214.3,360.4201715
1_041_B3_21_g,1,1,41,3,7,g,21,0,12,92.5,90.9,na,1,0.8,310,0.13,0.855,3.977,0.298,2.281,124.8,4.336,283.5,100.2,221.5,373.4629031
1_041_B3_19_h,1,1,41,3,7,h,19,0,12,92.5,90.9,na,1,0.8,310,0.07,0.391,1.679,-0.433,2.075,69.3,1.937,169.4,61.43,121.5,217.3298298
1_041_B3_20_i,1,1,41,3,7,i,20,0,12,92.5,90.9,na,1,0.8,310,0.1,0.615,2.858,0.1,2.197,92.8,3.13,226.3,78.35,218.9,324.4497226
1_051_B1_5_a,1,2,51,1,2,a,5,0,12,90.9,90.4,na,1,0.25,350,0.1,1.032,4.226,0.687,2.326,101.2,4.355,64.9,55.46,27.28,89.62153759
1_051_B1_6_b,1,2,51,1,2,b,6,0,12,90.9,90.4,na,1,0.25,350,0.13,1.812,6.548,0.461,1.792,128.8,6.699,79.1,61.07,24.84,102.9727173
1_051_B1_4_c,1,2,51,1,2,c,4,0,12,90.9,90.4,na,1,0.25,350,0.07,0.677,2.728,0.52,1.988,70.5,2.957,52.04,44.26,22.9,72.05219775
1_051_B1_9_d,1,2,51,1,3,d,9,0,12,90.9,90.4,na,1,0.25,390,0.13,0.988,4.2,0.646,2.356,129.5,4.434,80.14,59.87,25.76,103.2976965
1_051_B1_8_e,1,2,51,1,3,e,8,0,12,90.9,90.4,na,1,0.25,390,0.1,0.999,3.641,0.359,1.833,100.5,3.806,66.41,51.77,23.69,87.4736366
1_051_B1_7_f,1,2,51,1,3,f,7,0,12,90.9,90.4,na,1,0.25,390,0.07,0.49,1.955,0.532,1.867,70.7,2.125,52.92,44.28,22.37,72.53731247
1_051_B1_2_g,1,2,51,1,1,g,2,0,12,90.9,90.4,na,1,0.25,310,0.1,0.878,3.082,0.074,1.561,100,3.243,68.78,49.87,23.98,88.27652972
1_051_B1_3_h,1,2,51,1,1,h,3,0,12,90.9,90.4,na,1,0.25,310,0.13,1.18,4.448,0.236,1.842,131.5,4.563,83.42,59.72,25.89,105.8095785
1_051_B1_1_i,1,2,51,1,1,i,1,0,12,90.9,90.4,na,1,0.25,310,0.07,0.393,1.921,0.223,2.276,91.2,2.241,55.84,42.95,22.11,73.83535874
1_061_B2_11_a,1,2,61,2,4,a,11,0,12,90.4,89.4,na,1,0.5,310,0.1,0.944,3.647,0.578,2.032,100.2,3.912,139.5,69.35,73.61,172.3023639
1_061_B2_12_b,1,2,61,2,4,b,12,0,12,90.4,89.4,na,1,0.5,310,0.13,0.952,3.69,0.572,2.047,128.8,3.814,176.5,87.39,82.71,213.6122801
1_061_B2_10_c,1,2,61,2,4,c,10,0,12,90.4,89.4,na,1,0.5,310,0.07,0.456,2.082,0.236,2.084,69.2,2.155,109.1,57.9,63.82,139.0259415
1_061_B2_15_d,1,2,61,2,5,d,15,0,12,90.4,89.4,na,1,0.5,350,0.13,0.968,4.02,0.628,2.275,129.2,4.139,177.3,85.72,79.43,212.3495545
1_061_B2_14_e,1,2,61,2,5,e,14,0,12,90.4,89.4,na,1,0.5,350,0.1,0.653,2.874,0.31,2.05,101.1,3.059,143.5,69.57,71.62,174.8189329
1_061_B2_13_f,1,2,61,2,5,f,13,0,12,90.4,89.4,na,1,0.5,350,0.07,0.369,1.575,-0.035,1.787,70,1.736,112.4,57.46,63.16,141.1545153
1_061_B2_16_g,1,2,61,2,6,g,16,0,12,90.4,89.4,na,1,0.5,390,0.07,0.255,1.171,-0.196,1.984,48.7,1.314,116.2,58.82,65.47,145.7688351
1_061_B2_17_h,1,2,61,2,6,h,17,0,12,90.4,89.4,na,1,0.5,390,0.1,0.413,2.04,-0.025,2.268,78.8,2.272,144.9,69.67,69.12,175.0071236
1_061_B2_18_i,1,2,61,2,6,i,18,0,12,90.4,89.4,na,1,0.5,390,0.13,0.668,3.185,0.854,2.807,131,3.326,177.5,82.13,74.87,209.4208772
1_071_B3_20_a,1,2,71,3,7,a,20,0,12,89.4,87.8,na,1,0.8,310,0.1,1.014,4.001,0.127,1.753,100.8,4.233,224.2,77.48,227.5,328.6716301
1_071_B3_19_b,1,2,71,3,7,b,19,0,12,89.4,87.8,na,1,0.8,310,0.07,0.653,2.546,0.124,1.699,69,2.616,165.7,62.01,122.1,214.9654393
1_071_B3_21_c,1,2,71,3,7,c,21,0,12,89.4,87.8,na,1,0.8,310,0.13,0.924,4.522,0.643,2.657,129.7,4.724,289.6,96.77,222.1,377.5725134
1_071_B3_22_d,1,2,71,3,8,d,22,0,12,89.4,87.8,na,1,0.8,350,0.07,0.569,2.24,0.139,1.687,70.4,2.419,172.4,59.8,126.3,221.9222612
1_071_B3_24_e,1,2,71,3,8,e,24,0,12,89.4,87.8,na,1,0.8,350,0.13,0.829,4.152,0.635,2.753,138.1,4.208,288.5,97.54,218.6,374.8763284
1_071_B3_23_f,1,2,71,3,8,f,23,0,12,89.4,87.8,na,1,0.8,350,0.1,0.685,2.701,-0.122,1.73,101.1,2.872,231.4,78.87,224.3,331.7784304
1_071_B3_25_g,1,2,71,3,9,g,25,0,12,89.4,87.8,na,1,0.8,390,0.07,0.489,2.194,0.262,2.071,71.7,2.582,175.1,62.81,125.2,224.2323485
1_071_B3_27_h,1,2,71,3,9,h,27,0,12,89.4,87.8,na,1,0.8,390,0.13,0.848,3.781,0.453,2.328,132.8,3.953,288.6,98.16,213.6,372.2234619
1_071_B3_26_i,1,2,71,3,9,i,26,0,12,89.4,87.8,na,1,0.8,390,0.1,0.538,2.328,-0.013,1.92,79,2.546,236.9,77.17,223.4,334.6406713
